"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
TRUE	"f"	NA	NA	"SigH1_1_FG"
TRUE	"m"	"SigH1_1_FG"	30	"SigH1_2_FG"
TRUE	"m"	"SigH1_2_FG"	30	"SigH1_3_FG"
TRUE	"m"	"SigH1_3_FG"	30	"SigH1_4_FG"
TRUE	"l"	"SigH1_4_FG"	30	"SigH1_5_FG"
TRUE	"f"	NA	NA	"SigH2_1_FG"
TRUE	"m"	"SigH2_1_FG"	30	"SigH2_2_FG"
TRUE	"m"	"SigH2_2_FG"	30	"SigH2_3_FG"
TRUE	"m"	"SigH2_3_FG"	30	"SigH2_4_FG"
TRUE	"l"	"SigH2_4_FG"	30	"SigH2_5_FG"
TRUE	"f"	NA	NA	"SigB1_T5_FG"
TRUE	"m"	"SigB1_T5_FG"	10	"SigB1_T15_FG"
TRUE	"l"	"SigB1_T15_FG"	15	"SigB1_T30_FG"
TRUE	"f"	NA	NA	"SigB2_T5_FG"
TRUE	"m"	"SigB2_T5_FG"	10	"SigB2_T15_FG"
TRUE	"l"	"SigB2_T15_FG"	15	"SigB2_T30_FG"
TRUE	"f"	NA	NA	"SigB3_T5_FG"
TRUE	"m"	"SigB3_T5_FG"	10	"SigB3_T15_FG"
TRUE	"l"	"SigB3_T15_FG"	15	"SigB3_T30_FG"
TRUE	"f"	NA	NA	"SigD1_ML_FG"
TRUE	"m"	"SigD1_ML_FG"	30	"SigD1_LL_FG"
TRUE	"m"	"SigD1_LL_FG"	30	"SigD1_T_FG"
TRUE	"l"	"SigD1_T_FG"	30	"SigD1_S_FG"
TRUE	"f"	NA	NA	"SigD2_ML_FG"
TRUE	"m"	"SigD2_ML_FG"	30	"SigD2_LL_FG"
TRUE	"m"	"SigD2_LL_FG"	30	"SigD2_T_FG"
TRUE	"l"	"SigD2_T_FG"	30	"SigD2_S_FG"
TRUE	"f"	NA	NA	"SigD1_T0_FG"
TRUE	"m"	"SigD1_T0_FG"	5	"SigD1_T5_FG"
TRUE	"m"	"SigD1_T5_FG"	10	"SigD1_T15_FG"
TRUE	"l"	"SigD1_T15_FG"	15	"SigD1_T30_FG"
TRUE	"f"	NA	NA	"SigD2_T0_FG"
TRUE	"m"	"SigD2_T0_FG"	15	"SigD2_T15_FG"
TRUE	"l"	"SigD2_T15_FG"	15	"SigD2_T30_FG"
TRUE	"f"	NA	NA	"RemA1_T5_FG"
TRUE	"m"	"RemA1_T5_FG"	10	"RemA1_T15_FG"
TRUE	"l"	"RemA1_T15_FG"	15	"RemA1_T30_FG"
TRUE	"f"	NA	NA	"Spo0A1_1_FG"
TRUE	"m"	"Spo0A1_1_FG"	60	"Spo0A1_2_FG"
TRUE	"l"	"Spo0A1_2_FG"	60	"Spo0A1_3_FG"
TRUE	"f"	NA	NA	"Spo0A2_1_FG"
TRUE	"m"	"Spo0A2_1_FG"	60	"Spo0A2_2_FG"
TRUE	"l"	"Spo0A2_2_FG"	60	"Spo0A2_3_FG"
TRUE	"f"	NA	NA	"ComK1_T1.5_FG"
TRUE	"l"	"ComK1_T1.5_FG"	60	"ComK1_T2.5_FG"
TRUE	"f"	NA	NA	"ComK2_T1.5_FG"
TRUE	"l"	"ComK2_T1.5_FG"	60	"ComK2_T2.5_FG"
TRUE	"f"	NA	NA	"Dapt1_T0_FG"
TRUE	"m"	"Dapt1_T0_FG"	5	"Dapt1_T5_FG"
TRUE	"m"	"Dapt1_T5_FG"	10	"Dapt1_T15_FG"
TRUE	"l"	"Dapt1_T15_FG"	15	"Dapt1_T30_FG"
TRUE	"f"	NA	NA	"Dapt2_T0_FG"
TRUE	"m"	"Dapt2_T0_FG"	5	"Dapt2_T5_FG"
TRUE	"m"	"Dapt2_T5_FG"	10	"Dapt2_T15_FG"
TRUE	"l"	"Dapt2_T15_FG"	15	"Dapt2_T30_FG"
TRUE	"f"	NA	NA	"Rifamp1_T0_FG"
TRUE	"m"	"Rifamp1_T0_FG"	5	"Rifamp1_T5_FG"
TRUE	"m"	"Rifamp1_T5_FG"	10	"Rifamp1_T15_FG"
TRUE	"l"	"Rifamp1_T15_FG"	15	"Rifamp1_T30_FG"
TRUE	"f"	NA	NA	"Spec1_T0_FG"
TRUE	"m"	"Spec1_T0_FG"	5	"Spec1_T5_FG"
TRUE	"m"	"Spec1_T5_FG"	10	"Spec1_T15_FG"
TRUE	"l"	"Spec1_T15_FG"	15	"Spec1_T30_FG"
TRUE	"f"	NA	NA	"Spec2_T0_FG"
TRUE	"m"	"Spec2_T0_FG"	5	"Spec2_T5_FG"
TRUE	"m"	"Spec2_T5_FG"	10	"Spec2_T15_FG"
TRUE	"l"	"Spec2_T15_FG"	15	"Spec2_T30_FG"
TRUE	"f"	NA	NA	"Vanco1_T0_FG"
TRUE	"m"	"Vanco1_T0_FG"	5	"Vanco1_T5_FG"
TRUE	"m"	"Vanco1_T5_FG"	10	"Vanco1_T15_FG"
TRUE	"l"	"Vanco1_T15_FG"	15	"Vanco1_T30_FG"
TRUE	"f"	NA	NA	"Vanco2_T0_FG"
TRUE	"m"	"Vanco2_T0_FG"	5	"Vanco2_T5_FG"
TRUE	"m"	"Vanco2_T5_FG"	10	"Vanco2_T15_FG"
TRUE	"l"	"Vanco2_T15_FG"	15	"Vanco2_T30_FG"
TRUE	"f"	NA	NA	"NalAcid1_T0_FG"
TRUE	"m"	"NalAcid1_T0_FG"	5	"NalAcid1_T5_FG"
TRUE	"m"	"NalAcid1_T5_FG"	10	"NalAcid1_T15_FG"
TRUE	"l"	"NalAcid1_T15_FG"	15	"NalAcid1_T30_FG"
TRUE	"f"	NA	NA	"NalAcid2_T0_FG"
TRUE	"m"	"NalAcid2_T0_FG"	5	"NalAcid2_T5_FG"
TRUE	"m"	"NalAcid2_T5_FG"	10	"NalAcid2_T15_FG"
TRUE	"l"	"NalAcid2_T15_FG"	15	"NalAcid2_T30_FG"
TRUE	"f"	NA	NA	"Spo1_T0.5_FG"
TRUE	"m"	"Spo1_T0.5_FG"	30	"Spo1_T1.0_FG"
TRUE	"m"	"Spo1_T1.0_FG"	30	"Spo1_T1.5_FG"
TRUE	"m"	"Spo1_T1.5_FG"	30	"Spo1_T2.0_FG"
TRUE	"m"	"Spo1_T2.0_FG"	30	"Spo1_T2.5_FG"
TRUE	"m"	"Spo1_T2.5_FG"	30	"Spo1_T3.0_FG"
TRUE	"m"	"Spo1_T3.0_FG"	30	"Spo1_T3.5_FG"
TRUE	"m"	"Spo1_T3.5_FG"	30	"Spo1_T4.0_FG"
TRUE	"m"	"Spo1_T4.0_FG"	30	"Spo1_T4.5_FG"
TRUE	"m"	"Spo1_T4.5_FG"	30	"Spo1_T5.0_FG"
TRUE	"m"	"Spo1_T5.0_FG"	30	"Spo1_T5.5_FG"
TRUE	"m"	"Spo1_T5.5_FG"	30	"Spo1_T6.0_FG"
TRUE	"m"	"Spo1_T6.0_FG"	30	"Spo1_T6.5_FG"
TRUE	"l"	"Spo1_T6.5_FG"	30	"Spo1_T7.0_FG"
TRUE	"f"	NA	NA	"DSM1_T-1.5_FG"
TRUE	"m"	"DSM1_T-1.5_FG"	30	"DSM1_T-1.0_FG"
TRUE	"m"	"DSM1_T-1.0_FG"	30	"DSM1_T-0.5_FG"
TRUE	"m"	"DSM1_T-0.5_FG"	30	"DSM1_T0_FG"
TRUE	"m"	"DSM1_T0_FG"	30	"DSM1_T+0.5_FG"
TRUE	"m"	"DSM1_T+0.5_FG"	30	"DSM1_T+1.0_FG"
TRUE	"m"	"DSM1_T+1.0_FG"	30	"DSM1_T+1.5_FG"
TRUE	"m"	"DSM1_T+1.5_FG"	60	"DSM1_T+2.5_FG"
TRUE	"m"	"DSM1_T+2.5_FG"	60	"DSM1_T+3.5_FG"
TRUE	"m"	"DSM1_T+3.5_FG"	30	"DSM1_T+4.0_FG"
TRUE	"m"	"DSM1_T+4.0_FG"	30	"DSM1_T+4.5_FG"
TRUE	"m"	"DSM1_T+4.5_FG"	30	"DSM1_T+5.0_FG"
TRUE	"l"	"DSM1_T+5.0_FG"	30	"DSM1_T+5.5_FG"
TRUE	"f"	NA	NA	"Germ1_T40min_FG"
TRUE	"m"	"Germ1_T40min_FG"	30	"Germ1_T70min_FG"
TRUE	"m"	"Germ1_T70min_FG"	20	"Germ1_T90min_FG"
TRUE	"m"	"Germ1_T90min_FG"	30	"Germ1_T120min_FG"
TRUE	"l"	"Germ1_T120min_FG"	30	"Germ1_T150min_FG"
TRUE	"f"	NA	NA	"Com1_T-1.5_FG"
TRUE	"m"	"Com1_T-1.5_FG"	30	"Com1_T-1.0_FG"
TRUE	"m"	"Com1_T-1.0_FG"	30	"Com1_T-0.5_FG"
TRUE	"m"	"Com1_T-0.5_FG"	30	"Com1_T0_FG"
TRUE	"m"	"Com1_T0_FG"	30	"Com1_T+0.5_FG"
TRUE	"m"	"Com1_T+0.5_FG"	60	"Com1_T+1.5_FG"
TRUE	"m"	"Com1_T+1.5_FG"	60	"Com1_T+2.5_FG"
TRUE	"l"	"Com1_T+2.5_FG"	60	"Com1_T+3.5_FG"
TRUE	"f"	NA	NA	"MSgg1_T-3.5_FG"
TRUE	"m"	"MSgg1_T-3.5_FG"	60	"MSgg1_T-2.5_FG"
TRUE	"m"	"MSgg1_T-2.5_FG"	60	"MSgg1_T-1.5_FG"
TRUE	"m"	"MSgg1_T-1.5_FG"	60	"MSgg1_T-0.5_FG"
TRUE	"m"	"MSgg1_T-0.5_FG"	60	"MSgg1_T+0.5_FG"
TRUE	"m"	"MSgg1_T+0.5_FG"	60	"MSgg1_T+1.5_FG"
TRUE	"m"	"MSgg1_T+1.5_FG"	60	"MSgg1_T+2.5_FG"
TRUE	"l"	"MSgg1_T+2.5_FG"	60	"MSgg1_T+3.5_FG"
TRUE	"f"	NA	NA	"Spo2_T1.0_FG"
TRUE	"m"	"Spo2_T1.0_FG"	30	"Spo2_T1.5_FG"
TRUE	"m"	"Spo2_T1.5_FG"	30	"Spo2_T2.0_FG"
TRUE	"m"	"Spo2_T2.0_FG"	30	"Spo2_T2.5_FG"
TRUE	"m"	"Spo2_T2.5_FG"	30	"Spo2_T3.0_FG"
TRUE	"m"	"Spo2_T3.0_FG"	30	"Spo2_T3.5_FG"
TRUE	"m"	"Spo2_T3.5_FG"	30	"Spo2_T4.0_FG"
TRUE	"m"	"Spo2_T4.0_FG"	30	"Spo2_T4.5_FG"
TRUE	"m"	"Spo2_T4.5_FG"	30	"Spo2_T5.0_FG"
TRUE	"m"	"Spo2_T5.0_FG"	30	"Spo2_T5.5_FG"
TRUE	"m"	"Spo2_T5.5_FG"	30	"Spo2_T6.0_FG"
TRUE	"m"	"Spo2_T6.0_FG"	30	"Spo2_T6.5_FG"
TRUE	"l"	"Spo2_T6.5_FG"	30	"Spo2_T7.0_FG"
TRUE	"f"	NA	NA	"DSM2_T-2.5_FG"
TRUE	"m"	"DSM2_T-2.5_FG"	30	"DSM2_T-2.0_FG"
TRUE	"m"	"DSM2_T-2.0_FG"	30	"DSM2_T-1.5_FG"
TRUE	"m"	"DSM2_T-1.5_FG"	30	"DSM2_T-1.0_FG"
TRUE	"m"	"DSM2_T-1.0_FG"	30	"DSM2_T-0.5_FG"
TRUE	"m"	"DSM2_T-0.5_FG"	30	"DSM2_T0_FG"
TRUE	"m"	"DSM2_T0_FG"	30	"DSM2_T+0.5_FG"
TRUE	"m"	"DSM2_T+0.5_FG"	30	"DSM2_T+1.0_FG"
TRUE	"m"	"DSM2_T+1.0_FG"	30	"DSM2_T+1.5_FG"
TRUE	"m"	"DSM2_T+1.5_FG"	30	"DSM2_T+2.0_FG"
TRUE	"m"	"DSM2_T+2.0_FG"	30	"DSM2_T+2.5_FG"
TRUE	"m"	"DSM2_T+2.5_FG"	30	"DSM2_T+3.0_FG"
TRUE	"m"	"DSM2_T+3.0_FG"	30	"DSM2_T+3.5_FG"
TRUE	"m"	"DSM2_T+3.5_FG"	30	"DSM2_T+4.0_FG"
TRUE	"m"	"DSM2_T+4.0_FG"	30	"DSM2_T+4.5_FG"
TRUE	"l"	"DSM2_T+4.5_FG"	30	"DSM2_T+5.0_FG"
TRUE	"f"	NA	NA	"Germ2_T40min_FG"
TRUE	"m"	"Germ2_T40min_FG"	30	"Germ2_T70min_FG"
TRUE	"m"	"Germ2_T70min_FG"	20	"Germ2_T90min_FG"
TRUE	"m"	"Germ2_T90min_FG"	15	"Germ2_T105min_FG"
TRUE	"l"	"Germ2_T105min_FG"	15	"Germ2_T120min_FG"
TRUE	"f"	NA	NA	"Com2_T-1.5_FG"
TRUE	"m"	"Com2_T-1.5_FG"	30	"Com2_T-1.0_FG"
TRUE	"m"	"Com2_T-1.0_FG"	30	"Com2_T-0.5_FG"
TRUE	"m"	"Com2_T-0.5_FG"	30	"Com2_T0_FG"
TRUE	"m"	"Com2_T0_FG"	30	"Com2_T+0.5_FG"
TRUE	"m"	"Com2_T+0.5_FG"	60	"Com2_T+1.5_FG"
TRUE	"m"	"Com2_T+1.5_FG"	60	"Com2_T+2.5_FG"
TRUE	"l"	"Com2_T+2.5_FG"	60	"Com2_T+3.5_FG"
FALSE	"e"	NA	NA	"Spo3_T0.5_FG"
FALSE	"e"	NA	NA	"SigF2_FG"
FALSE	"e"	NA	NA	"SigE1_FG"
FALSE	"e"	NA	NA	"SigE2_FG"
FALSE	"e"	NA	NA	"SpoIIID1_FG"
FALSE	"e"	NA	NA	"SpoIIID2_FG"
FALSE	"e"	NA	NA	"SigG1_FG"
FALSE	"e"	NA	NA	"SigG2_FG"
FALSE	"e"	NA	NA	"SigE&G1_FG"
FALSE	"e"	NA	NA	"SigE&G2_FG"
FALSE	"e"	NA	NA	"SigF&E1_FG"
FALSE	"e"	NA	NA	"SigK1_FG"
FALSE	"e"	NA	NA	"SigK2_FG"
FALSE	"e"	NA	NA	"SpoVT1_FG"
FALSE	"e"	NA	NA	"SpoVT2_FG"
FALSE	"e"	NA	NA	"GerE1_FG"
FALSE	"e"	NA	NA	"GerE2_FG"
FALSE	"e"	NA	NA	"Gin1_T2_FG"
FALSE	"e"	NA	NA	"Gin1_T4.5_FG"
FALSE	"e"	NA	NA	"PsigFGin1_T2_FG"
FALSE	"e"	NA	NA	"PsigFGin1_T4.5_FG"
FALSE	"e"	NA	NA	"PsigKGin1_T2_FG"
FALSE	"e"	NA	NA	"PsigKGin1_T4.5_FG"
FALSE	"e"	NA	NA	"Gin(6825vs6827)1_T3_FG"
FALSE	"e"	NA	NA	"Gin(6825vs6827)2_T3_FG"
FALSE	"e"	NA	NA	"YfmP1_FG"
FALSE	"e"	NA	NA	"YfmP2_FG"
FALSE	"e"	NA	NA	"YfmP3_FG"
